N. Sol: ,112
-,4-TNU-X,2-TNU-C,5-TSU-C,1-TSU-C,-,-,3-TSU-X,-,-
2-TNU-C,-,4-TNU-X,5-TSU-C,1-TSU-C,-,-,-,3-TSU-X,-
